hotspot_id,jurisdiction,severity,location_raw,traffic_ps,circle_no_clean,geocode_query,source_file,point_no_in_source,latitude,longitude,geocode_match_quality,geocoded_display_name,geocode_query_used,geocode_query_used_v3,geocode_precision,map_latitude,map_longitude,jittered_for_display,elevation_m,Aug2000_flood_total_mm,Aug2008_flood_total_mm,Oct2020_flood_total_mm,Aug2000_flood_max_daily_mm,Aug2008_flood_max_daily_mm,Oct2020_flood_max_daily_mm,snapshot_date,current_day_rain_mm,cum_rainfall_3day,cum_rainfall_5day,slope_degrees
HR0001,GHMC-Hyderabad,Critical,"Oliphant Bridge both sides, near Chilkalguda X Roads, Secunderabad",Gopalpuram,29,"Oliphant Bridge both sides, near Chilkalguda X Roads, Secunderabad, Gopalpuram, Hyderabad, Telangana, India",Critical_Water_Logging_Points_with_Alternative_Routes.pdf,1,17.4337246,78.5006827,retry_success,"Secunderabad, Hyderabad, Telangana, 500003, India","Secunderabad, Hyderabad, Telangana, India",,unresolved,17.4337246,78.5006827,False,540.9121660831945,249.8,237.7,165.5,128.0,58.8,73.2,2026-09-09,1.6,15.6,23.4,1.6940663091869919
HR0002,GHMC-Hyderabad,Critical,Between Graveyard & RUB Chilaklguda on The Road between Alugaddabavi & Chilkalguda,Gopalpuram,29,"Between Graveyard & RUB Chilaklguda on The Road between Alugaddabavi & Chilkalguda, Gopalpuram, Hyderabad, Telangana, India",Critical_Water_Logging_Points_with_Alternative_Routes.pdf,2,17.4282375,78.5164859,manual_lookup,"Chilkalguda, Secunderabad (manual lookup)",,,unresolved,17.4282375,78.5164859,False,525.469727800029,249.8,237.7,174.5,128.0,58.8,73.6,2026-09-09,2.2,11.1,19.2,2.583677717161134
HR0003,GHMC-Hyderabad,Critical,"Lake View Guest House, Raj Bhavan Road",Panjagutta,17,"Lake View Guest House, Raj Bhavan Road, Panjagutta, Hyderabad, Telangana, India",Critical_Water_Logging_Points_with_Alternative_Routes.pdf,3,17.4168732,78.4591225,full,"Lake View Guest House, Raj Bhavan quarters road, Irrum Manzil, Khairatabad, Ward 91 Khairatabad, Greater Hyderabad Municipal Corporation Central Zone, Hyderabad, Khairatabad mandal, Hyderabad, Telangana, 500082, India",,"Lake View Guest House, Raj Bhavan Road, Hyderabad, Telangana, India",point_level,17.4168732,78.4591225,False,532.5845200000281,249.8,237.7,170.7,128.0,58.8,80.5,2026-09-09,2.6,14.6,22.1,1.3680806498845441
HR0004,GHMC-Hyderabad,Critical,"Villa Mary College, Raj Bhavan Road",Panjagutta,17,"Villa Mary College, Raj Bhavan Road, Panjagutta, Hyderabad, Telangana, India",Critical_Water_Logging_Points_with_Alternative_Routes.pdf,4,17.4254245,78.4517519,full,"Panjagutta, Ward 91 Khairatabad, Greater Hyderabad Municipal Corporation Central Zone, Hyderabad, Khairatabad mandal, Hyderabad, Telangana, 500082, India",,"Panjagutta, Hyderabad, Telangana, India",ward_level,17.4256648,78.45209750000001,True,534.6338728880137,249.8,237.7,170.7,128.0,58.8,80.5,2026-09-09,2.6,14.6,22.1,3.788544489188391
HR0005,GHMC-Hyderabad,Critical,"Near Model House, Panjagutta",Panjagutta,17,"Near Model House, Panjagutta, Hyderabad, Telangana, India",Critical_Water_Logging_Points_with_Alternative_Routes.pdf,5,17.4242374,78.4530221,full,"Model House, Model house, Saibaba Temple Road, Dwarkapuri Colony, Panjagutta, Ward 91 Khairatabad, Greater Hyderabad Municipal Corporation Central Zone, Hyderabad, Khairatabad mandal, Hyderabad, Telangana, 500082, India",,"Model House, Panjagutta, Hyderabad, Telangana, India",point_level,17.4242374,78.4530221,False,531.8165711584202,249.8,237.7,170.7,128.0,58.8,80.5,2026-09-09,2.6,14.6,22.1,6.7327969942731105
HR0006,GHMC-Hyderabad,Critical,"K.C.P Junction, Near RTA office, Khairatabad.",Panjagutta,17,"K.C.P Junction, Near RTA office, Khairatabad., Panjagutta, Hyderabad, Telangana, India",Critical_Water_Logging_Points_with_Alternative_Routes.pdf,6,17.4254245,78.4517519,full,"Panjagutta, Ward 91 Khairatabad, Greater Hyderabad Municipal Corporation Central Zone, Hyderabad, Khairatabad mandal, Hyderabad, Telangana, 500082, India",,"Panjagutta, Hyderabad, Telangana, India",ward_level,17.4257854,78.45230000000001,True,534.6338728880137,249.8,237.7,170.7,128.0,58.8,80.5,2026-09-09,2.6,14.6,22.1,3.788544489188391
HR0007,GHMC-Hyderabad,Critical,"Near Balkampet , RUB",SR Nagar,17,"Near Balkampet , RUB, SR Nagar, Hyderabad, Telangana, India",Critical_Water_Logging_Points_with_Alternative_Routes.pdf,7,17.4452312,78.4449117,full,"SR Nagar, Ward 98 Ameerpet, Greater Hyderabad Municipal Corporation Central Zone, Hyderabad, Ameerpet mandal, Hyderabad, Telangana, 500038, India",,"SR Nagar, Hyderabad, Telangana, India",ward_level,17.4452312,78.4449117,False,541.3711821183774,249.8,237.7,161.2,128.0,58.8,77.6,2026-09-09,2.5,18.8,23.3,2.5558813867917674
HR0008,GHMC-Hyderabad,Critical,"Neeru’s Show Room, Road No.36/100 , Jublee Hills",Jubilee Hills,18,"Neeru’s Show Room, Road No.36/100 , Jublee Hills, Jubilee Hills, Hyderabad, Telangana, India",Critical_Water_Logging_Points_with_Alternative_Routes.pdf,8,17.4308362,78.4102882,full,"Jubilee Hills, Ward 95 Jubilee Hills, Greater Hyderabad Municipal Corporation Central Zone, Hyderabad, Shaikpet mandal, Hyderabad, Telangana, 500033, India",,"Jubilee Hills, Hyderabad, Telangana, India",ward_level,17.4308362,78.4102882,False,602.068867206405,249.8,237.7,163.0,128.0,58.8,90.2,2026-09-09,0.9,13.099999999999998,18.5,6.316464522095239
HR0009,GHMC-Hyderabad,Critical,"Opp: Mylan Showroom, Road No. 92,Near Apollo Cradle Hospital, Jubilee Hills",Banjara Hills,18,"Opp: Mylan Showroom, Road No. 92,Near Apollo Cradle Hospital, Jubilee Hills, Banjara Hills, Hyderabad, Telangana, India",Critical_Water_Logging_Points_with_Alternative_Routes.pdf,9,17.4177464,78.4399014,full,"Banjara Hills, Ward 92 Venkateshwara Colony, Greater Hyderabad Municipal Corporation Central Zone, Hyderabad, Shaikpet mandal, Hyderabad, Telangana, 500034, India",,"Banjara Hills, Hyderabad, Telangana, India",ward_level,17.417275699999998,78.4393128,True,580.9438237183992,249.8,237.7,170.7,128.0,58.8,80.5,2026-09-09,2.6,14.6,22.1,3.3070119549551524
HR0010,GHMC-Hyderabad,Critical,"Opp: Bombay Hotel, Ranigunj “x” Road",Begumpet,30,"Opp: Bombay Hotel, Ranigunj “x” Road, Begumpet, Hyderabad, Telangana, India",Critical_Water_Logging_Points_with_Alternative_Routes.pdf,10,17.446195,78.463016,full,"Begumpet, Ward 149 Begumpet, Greater Hyderabad Municipal Corporation North Zone, Hyderabad, Balanagar mandal, Medchal–Malkajgiri, Telangana, 500133, India",,"Begumpet, Hyderabad, Telangana, India",ward_level,17.4460528,78.4636433,True,528.4013952000082,249.8,237.7,161.2,128.0,58.8,77.6,2026-09-09,2.5,18.8,23.3,1.8872357197267793
